2020-03-05,2
2020-03-06,2
2020-03-07,2
2020-03-08,4
2020-03-09,4
2020-03-10,4
2020-03-11,7
2020-03-12,11
2020-03-13,19
2020-03-14,21
2020-03-15,26
2020-03-16,45
2020-03-17,55
2020-03-18,82
2020-03-19,99
2020-03-20,165
2020-03-21,165
2020-03-22,190
2020-03-23,265
2020-03-24,315
2020-03-25,405
2020-03-26,535
2020-03-27,621
2020-03-28,738
2020-03-29,920
2020-03-30,1044
2020-03-31,1113
2020-04-01,1279
2020-04-02,1458
2020-04-03,1549
2020-04-04,1758
2020-04-05,1880
2020-04-06,1971
2020-04-07,2101
2020-04-08,2318
2020-04-09,2456
2020-04-10,2606
2020-04-11,2720
2020-04-12,2860
2020-04-13,3036
2020-04-14,3137
2020-04-15,3212
2020-04-16,3321
2020-04-17,3524
2020-04-18,3626
2020-04-19,3710
2020-04-20,3830
2020-04-21,3937
2020-04-22,4081
2020-04-23,4208
2020-04-24,4398
2020-04-25,4539
2020-04-26,4638
2020-04-27,4708
2020-04-28,4812
2020-04-29,4934
2020-04-30,5053
2020-05-01,5249
2020-05-02,5390
2020-05-03,5473
2020-05-04,5627
2020-05-05,5665
2020-05-06,5744
2020-05-07,5858
2020-05-08,5942
2020-05-09,6046
2020-05-10,6120
2020-05-11,6152
2020-05-12,6311
2020-05-13,6482
2020-05-14,6604
2020-05-15,6733
2020-05-16,6810
2020-05-17,6935
2020-05-18,7059
2020-05-19,7169
2020-05-20,7301
2020-05-21,7404
2020-05-22,7531
2020-05-23,7769
2020-05-24,7886
2020-05-25,7959
2020-05-26,8059
2020-05-27,8150
2020-05-28,8247
2020-05-29,8375
2020-05-30,8519
2020-05-31,8628
2020-06-01,8701
2020-06-02,8858
2020-06-03,8950
2020-06-04,9118
2020-06-05,9306
2020-06-06,9494
2020-06-07,9673
2020-06-08,9815
2020-06-09,10046
2020-06-10,10216
2020-06-11,10464
2020-06-12,10704
2020-06-13,10992
2020-06-14,11199
2020-06-15,11316
2020-06-16,11673
2020-06-17,11852
2020-06-18,12164
2020-06-19,12525
2020-06-20,12977
2020-06-21,13236
2020-06-22,13575
2020-06-23,14058
2020-06-24,14460
2020-06-25,14911
2020-06-26,15359
2020-06-27,16400
2020-06-28,17187
2020-06-29,17971
2020-06-30,18582
2020-07-01,19151
2020-07-02,19871
2020-07-03,20878
2020-07-04,21671
2020-07-05,22518
2020-07-06,22930
2020-07-07,23848
2020-07-08,24378
2020-07-09,25055
2020-07-10,25961
2020-07-11,26912
2020-07-12,27745
2020-07-13,28597
2020-07-14,29669
2020-07-15,30587
2020-07-16,32024
2020-07-17,33372
2020-07-18,34606
2020-07-19,35826
2020-07-20,36805
2020-07-21,37605
2020-07-22,38759
2020-07-23,40088
2020-07-24,41013
2020-07-25,41993
2020-07-26,42919
2020-07-27,43880
2020-07-28,44991
2020-07-29,45937
