2020-11-04,445537
2020-11-05,455528
2020-11-06,466884
2020-11-07,479061
2020-11-08,488980
2020-11-09,500015
2020-11-10,512688
2020-11-11,525072
2020-11-12,537860
2020-11-13,553083
2020-11-14,564086
2020-11-15,574722
2020-11-16,586569
2020-11-17,599358
2020-11-18,608056
2020-11-19,622869
2020-11-20,635823
2020-11-21,647474
2020-11-22,657402
2020-11-23,665865
2020-11-24,675543
2020-11-25,686855
2020-11-26,698364
2020-11-27,706123
2020-11-28,714070
2020-11-29,721487
2020-11-30,727825
2020-12-01,740510
2020-12-02,750208
2020-12-03,761209
2020-12-04,771696
2020-12-05,781441
2020-12-06,788922
2020-12-07,797789
2020-12-08,805794
2020-12-09,813990
2020-12-10,825136
2020-12-11,834668
2020-12-12,843328
2020-12-13,850412
2020-12-14,857860
2020-12-15,865261
2020-12-16,872294
2020-12-17,881229
2020-12-18,888478
2020-12-19,896003
2020-12-20,901924
2020-12-21,906917
2020-12-22,913265
2020-12-23,919992
2020-12-24,926967
2020-12-25,932427
2020-12-26,935849
2020-12-27,939671
2020-12-28,944402
2020-12-29,950122
2020-12-30,957853
2020-12-31,965840
2021-01-01,966287
2021-01-02,977677
2021-01-03,982105
2021-01-04,987459
2021-01-05,994511
2021-01-06,1001955
2021-01-07,1010808
2021-01-08,1020011
2021-01-09,1026639
2021-01-10,1031288
2021-01-11,1036450
2021-01-12,1043041
2021-01-13,1048784
2021-01-14,1055550
2021-01-15,1062121
2021-01-16,1067230
